Year,Value
1975,2.2
1976,2.4
1977,2.5
1978,2.7
1979,2.9
1980,3.1
1981,3.2
1982,3.4
1983,3.7
1984,3.9
1985,4.1
1986,4.3
1987,4.6
1988,4.8
1989,5.1
1990,5.4
1991,5.7
1992,6
1993,6.4
1994,6.7
1995,7.1
1996,7.5
1997,7.9
1998,8.4
1999,8.8
2000,9.3
2001,9.8
2002,10.3
2003,10.8
2004,11.3
2005,11.9
2006,12.4
2007,12.9
2008,13.4
2009,14
2010,14.5
2011,15.1
2012,15.6
2013,16.2
2014,16.8
2015,17.4
2016,17.9
